state,year,quarter,year_quarter,transaction_type,"transaction_count
",transaction_amount,avg_transaction_value,Region
Andaman and Nicobar Islands,2018,Q1,2018-Q1,Recharge & bill payments,4200,1845307.47,439,Southern Region
Andaman and Nicobar Islands,2018,Q1,2018-Q1,Peer-to-peer payments,1871,12138655.30,6488,Southern Region
Andaman and Nicobar Islands,2018,Q1,2018-Q1,Merchant payments,298,452507.17,1518,Southern Region
Andaman and Nicobar Islands,2018,Q1,2018-Q1,Financial Services,33,10601.42,321,Southern Region
Andaman and Nicobar Islands,2018,Q1,2018-Q1,Others,256,184689.87,721,Southern Region
Andaman and Nicobar Islands,2018,Q2,2018-Q2,Recharge & bill payments,6735,2320944.73,345,Southern Region
Andaman and Nicobar Islands,2018,Q2,2018-Q2,Peer-to-peer payments,3575,24511925.23,6856,Southern Region
Andaman and Nicobar Islands,2018,Q2,2018-Q2,Merchant payments,603,1024491.01,1699,Southern Region
Andaman and Nicobar Islands,2018,Q2,2018-Q2,Financial Services,59,121336.03,2057,Southern Region
Andaman and Nicobar Islands,2018,Q2,2018-Q2,Others,368,359838.51,978,Southern Region
Andaman and Nicobar Islands,2018,Q3,2018-Q3,Recharge & bill payments,8636,4343504.87,503,Southern Region
Andaman and Nicobar Islands,2018,Q3,2018-Q3,Peer-to-peer payments,6448,49270781.54,7641,Southern Region
Andaman and Nicobar Islands,2018,Q3,2018-Q3,Merchant payments,945,1627359.84,1722,Southern Region
Andaman and Nicobar Islands,2018,Q3,2018-Q3,Financial Services,42,1481.49,35,Southern Region
Andaman and Nicobar Islands,2018,Q3,2018-Q3,Others,194,314343.39,1620,Southern Region
Andaman and Nicobar Islands,2018,Q4,2018-Q4,Recharge & bill payments,11517,5450549.51,473,Southern Region
Andaman and Nicobar Islands,2018,Q4,2018-Q4,Peer-to-peer payments,10451,81001456.98,7751,Southern Region
Andaman and Nicobar Islands,2018,Q4,2018-Q4,Merchant payments,1421,3552027.74,2500,Southern Region
Andaman and Nicobar Islands,2018,Q4,2018-Q4,Financial Services,29,76035.79,2622,Southern Region
Andaman and Nicobar Islands,2018,Q4,2018-Q4,Others,340,468266.06,1377,Southern Region
Andaman and Nicobar Islands,2019,Q1,2019-Q1,Recharge & bill payments,15263,6611459.87,433,Southern Region
Andaman and Nicobar Islands,2019,Q1,2019-Q1,Peer-to-peer payments,13119,91808345.87,6998,Southern Region
Andaman and Nicobar Islands,2019,Q1,2019-Q1,Merchant payments,1759,3266589.85,1857,Southern Region
Andaman and Nicobar Islands,2019,Q1,2019-Q1,Financial Services,62,116250.44,1875,Southern Region
Andaman and Nicobar Islands,2019,Q1,2019-Q1,Others,283,497094.65,1757,Southern Region
Andaman and Nicobar Islands,2019,Q2,2019-Q2,Recharge & bill payments,14676,7242448.26,493,Southern Region
Andaman and Nicobar Islands,2019,Q2,2019-Q2,Peer-to-peer payments,14481,107525358.67,7425,Southern Region
Andaman and Nicobar Islands,2019,Q2,2019-Q2,Merchant payments,4031,4702152.62,1166,Southern Region
Andaman and Nicobar Islands,2019,Q2,2019-Q2,Financial Services,124,113278.91,914,Southern Region
